,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
26,Aderholt,Robert,B.,,,Robert B. Aderholt,1965-07-22,M,rep,AL,4.0,,Republican,https://aderholt.house.gov,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,76452765.0,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,,A000055,1460.0,N00003028,,H6AL04098,45516.0,400004,441.0,Robert B. Aderholt,,29701.0,Robert Aderholt
27,Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,sen,WI,,1.0,Democrat,https://www.baldwin.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,1074518754.0,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,,B001230,1558.0,N00004367,S354,"H8WI00018,S2WI00219",57884.0,400013,3470.0,Tammy Baldwin,,29940.0,Tammy Baldwin
28,Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,sen,CO,,3.0,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,224285242.0,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,,B001267,1965.0,N00030608,S330,S0CO00211,1031622.0,412330,110942.0,Michael Bennet,,40910.0,Michael Bennet
29,Bilirakis,Gus,M.,,,Gus M. Bilirakis,1963-02-08,M,rep,FL,12.0,,Republican,https://bilirakis.house.gov,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,26051676.0,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,,B001257,1838.0,N00027462,,H6FL09070,1022873.0,412250,17318.0,Gus M. Bilirakis,,20758.0,Gus Bilirakis
30,Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,2.0,,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,249410485.0,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,,B000490,91.0,N00002674,,H2GA02031,26194.0,400030,26817.0,Sanford Bishop Jr.,,29339.0,Sanford Bishop
31,Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,sen,TN,,1.0,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,278145569.0,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,,B001243,1748.0,N00003105,S396,"H2TN06030,S8TN00337",31226.0,400032,25186.0,Marsha Blackburn,,20351.0,Marsha Blackburn
32,Blumenauer,Earl,,,,Earl Blumenauer,1948-08-16,M,rep,OR,3.0,,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,137823987.0,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,,B000574,99.0,N00007727,,H6OR03064,43809.0,400033,367.0,Earl Blumenauer,,29588.0,Earl Blumenauer
33,Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,sen,CT,,3.0,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,278124059.0,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,,B001277,2076.0,N00031685,S341,S0CT00177,21799.0,412490,1568.0,Richard Blumenthal,,41101.0,Richard Blumenthal
34,Boozman,John,,,,John Boozman,1950-12-10,M,sen,AR,,3.0,Republican,https://www.boozman.senate.gov/public,555 Dirksen Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,5558312.0,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,,B001236,1687.0,N00013873,S343,"H2AR03176,S0AR00150",92069.0,400040,27958.0,John Boozman,,20101.0,John Boozman
35,Buchanan,Vern,,,,Vern Buchanan,1951-05-08,M,rep,FL,16.0,,Republican,https://buchanan.house.gov,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,20467163.0,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,,B001260,1840.0,N00027626,,H6FL13148,1021626.0,412196,66247.0,Vern Buchanan,,20709.0,Vern Buchanan
36,Bucshon,Larry,,,,Larry Bucshon,1962-05-31,M,rep,IN,8.0,,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,,http://bucshon.house.gov/rss.xml,RepLarryBucshon,234812598.0,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,,B001275,2018.0,N00031227,,H0IN08114,61837.0,412427,120335.0,Larry Bucshon,,21132.0,Larry Bucshon
37,Burgess,Michael,C.,,,Michael C. Burgess,1950-12-23,M,rep,TX,26.0,,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,,http://burgess.house.gov/news/rss.aspx,MichaelCBurgess,15751083.0,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,,B001248,1751.0,N00025219,,H2TX26093,1003620.0,400052,50120.0,,,20355.0,Michael C. Burgess
38,Calvert,Ken,S.,,,Ken Calvert,1953-06-08,M,rep,CA,41.0,,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,22545491.0,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,,C000059,165.0,N00007099,,H2CA37023,26709.0,400057,26777.0,Ken Calvert,,29323.0,Ken Calvert
39,Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,sen,WV,,2.0,Republican,https://www.capito.senate.gov,170 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,193794406.0,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,,C001047,1676.0,N00009771,S372,"H0WV02138,S4WV00159",83737.0,400061,11701.0,Shelley Moore Capito,,20146.0,Shelley Moore Capito
40,Carson,André,,,,André Carson,1974-10-16,M,rep,IN,7.0,,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,199325935.0,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,,C001072,1889.0,N00029513,,H8IN07184,1027364.0,412258,84917.0,Andre Carson,,20757.0,André Carson
41,Carter,John,R.,,,John R. Carter,1941-11-06,M,rep,TX,31.0,,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,18030431.0,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,,C001051,1752.0,N00025095,,H2TX31044,1004257.0,400068,49296.0,John Carter,,20356.0,John Carter (Texas politician)
42,Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,sen,LA,,2.0,Republican,https://www.cassidy.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,SenBillCassidy,1.0175001853568532e+18,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,,C001075,1925.0,N00030245,S373,"H8LA00017,S4LA00107",1030546.0,412269,69494.0,Bill Cassidy,,20919.0,Bill Cassidy
43,Castor,Kathy,,,,Kathy Castor,1966-08-20,F,rep,FL,14.0,,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,,http://castor.house.gov/news/rss.aspx,USRepKCastor,1880674038.0,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,,C001066,1839.0,N00027514,,"H6FL11126,H6FL11134",1022874.0,412195,53825.0,Kathy Castor,,20708.0,Kathy Castor
44,Chu,Judy,M.,,,Judy Chu,1953-07-07,F,rep,CA,28.0,,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,,http://chu.house.gov/rss.xml,RepJudyChu,193732179.0,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,,C001080,1970.0,N00030600,,H0CA32101,92573.0,412379,16539.0,Judy Chu,,20955.0,Judy Chu
45,Clarke,Yvette,D.,,,Yvette D. Clarke,1964-11-21,F,rep,NY,9.0,,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,,http://clarke.house.gov/news/rss.aspx,RepYvetteClarke,240812994.0,repyvettedclarke,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,,C001067,1864.0,N00026961,,H4NY11138,1022875.0,412221,44741.0,Yvette D. Clarke,,20733.0,Yvette Clarke
46,Cleaver,Emanuel,,II,,Emanuel Cleaver,1944-10-26,M,rep,MO,5.0,,Democrat,https://cleaver.house.gov,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,,http://cleaver.house.gov/rss.xml,RepCleaver,163570705.0,emanuelcleaverii,repcleaver,UCVC-7CLFjXczoihr5FxDLsw,,C001061,1790.0,N00026790,,H4MO05234,10933.0,400639,39507.0,Emanuel Cleaver,,20517.0,Emanuel Cleaver
47,Clyburn,James,E.,,Jim,James E. Clyburn,1940-07-21,M,rep,SC,6.0,,Democrat,https://clyburn.house.gov,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,,http://clyburn.house.gov/rss.xml,RepJamesClyburn,188019606.0,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg,,C000537,208.0,N00002408,,H2SC02042,21607.0,400075,27066.0,James E. Clyburn,,39301.0,Jim Clyburn
48,Cohen,Steve,,,,Steve Cohen,1949-05-24,M,rep,TN,9.0,,Democrat,https://cohen.house.gov,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,,http://cohen.house.gov/rss.xml,RepCohen,162069635.0,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA,,C001068,1878.0,N00003225,,H6TN09068,1022876.0,412236,24340.0,Steve Cohen,,20748.0,Steve Cohen (politician)
49,Cole,Tom,,,,Tom Cole,1949-04-28,M,rep,OK,4.0,,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,,http://cole.house.gov/rss.xml,TomColeOK04,23124635.0,TomColeOK04,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ,,C001053,1742.0,N00025726,,H2OK04055,1003609.0,400077,46034.0,Tom Cole,,20344.0,Tom Cole
50,Connolly,Gerald,E.,,,Gerald E. Connolly,1950-03-30,M,rep,VA,11.0,,Democrat,https://connolly.house.gov,2265 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,,http://connolly.house.gov/common/rss//index.cfm?rss=44,GerryConnolly,78445977.0,CongressmanGerryConnolly,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA,,C001078,1959.0,N00029891,,H8VA11062,1015936.0,412272,95078.0,Gerald Connolly,,20952.0,Gerry Connolly
51,Costa,Jim,,,,Jim Costa,1952-04-13,M,rep,CA,21.0,,Democrat,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341,,http://costa.house.gov/index.php?format=feed&amp;type=rss,RepJimCosta,245451804.0,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,,C001059,1774.0,N00026341,,H4CA20082,19599.0,400618,3577.0,Jim Costa,,20501.0,Jim Costa
52,Courtney,Joe,,,,Joe Courtney,1953-04-06,M,rep,CT,2.0,,Democrat,https://courtney.house.gov,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,,http://courtney.house.gov/index.php?format=feed&amp;type=rss,RepJoeCourtney,85396297.0,joecourtney,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,,C001069,1836.0,N00024842,,H2CT02112,1021284.0,412193,30333.0,Joe Courtney,,20706.0,Joe Courtney (politician)
53,Crapo,Michael,D.,,Mike,Mike Crapo,1951-05-20,M,sen,ID,,3.0,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,,MikeCrapo,600463589.0,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,,C000880,250.0,N00006267,S266,"S8ID00027,H2ID02034",26440.0,300030,26830.0,Mike Crapo,,29345.0,Mike Crapo
54,Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,AR,1.0,,Republican,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,,http://crawford.house.gov/news/rss.aspx,RepRickCrawford,233693291.0,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,,C001087,1989.0,N00030770,,H0AR01083,623259.0,412400,119208.0,Rick Crawford,,21106.0,Rick Crawford (politician)
